sweep,model,device,scale,s,n,policy,tau_max,tau_add,D,attn,traffic,reads,lb_add
B,Qwen3-32B-FP8,L40S-48GB,10,0.5,2,pipe,2790.753268791958,2797.787178137522,2588.7601274821877,201.9930393107416,7.034011344592591,2.423069809777778,2797.606502106397
B,Qwen3-32B-FP8,L40S-48GB,10,0.5,2,fullspec,2814.0597177496816,2818.8136618705717,2609.9383137789905,204.12140397069265,4.753944120888889,0.10598384829629631,2818.707678022276
B,Qwen3-32B-FP8,L40S-48GB,10,0.9,2,pipe,2809.3912355203265,2818.299946930125,2605.6860900409283,203.7049384086038,8.908918480592588,4.268384255999999,2818.093066768939
B,Qwen3-32B-FP8,L40S-48GB,10,0.9,2,fullspec,2814.0597177496816,2818.8136618705717,2609.9383137789905,204.12140397069265,4.753944120888889,0.10598384829629631,2818.707678022276
C,Qwen3-4B-FP8,H100-SXM-80GB,1,0.9,4,k=1,17.463056360440653,17.709718963240288,17.076591814047497,0.3700958626686124,0.2630312865241791,0.16049139650865674,17.709685158402085
C,Qwen3-4B-FP8,H100-SXM-80GB,1,0.9,4,k=2,17.76520635919575,17.92264020052351,17.387112278928754,0.3780940802669954,0.15743384132776117,0.05305310620656717,17.602246868099993
C,Qwen3-4B-FP8,H100-SXM-80GB,1,0.9,4,k=4,18.462836606882863,18.57125191423092,18.066728246589186,0.3961083602936756,0.10841530734805971,5.634139701492538e-06,18.571246280091216
C,Qwen3-4B-FP8,H100-SXM-80GB,10,0.9,4,k=1,136.11058024509967,138.40258280858254,114.18952602324411,21.91375444738975,2.2993023379486575,1.6093028278638803,138.39785589742309
C,Qwen3-4B-FP8,H100-SXM-80GB,10,0.9,4,k=2,136.487945128026,137.71243498180993,114.50004648812534,21.98789863990071,1.2244898537838806,0.5326494985934328,137.32347299440218
C,Qwen3-4B-FP8,H100-SXM-80GB,10,0.9,4,k=4,137.33492668080703,138.03241297217897,115.17966245578576,22.155264225021284,0.6974862913719401,0.0016169980943283578,138.03079597408464
