s1,rep,model,device,policy,tau,LB,gap_pct,batches,U_tot,peak_resident,validate_s
0.75,0,Qwen3-4B-FP8,H100-SXM-80GB,pipe,14.24288885648151,14.241110599543397,0.01248678553321749,7,3835291,996857.0,0.08
0.75,0,Qwen3-4B-FP8,H100-SXM-80GB,fullspec,14.728641087833644,14.728641087833646,-1.2060561655396581e-14,4,3965841,996827.0,0.04
0.75,0,Qwen3-4B-FP8,L40S-48GB,task,52.16328135296664,52.163281352966635,1.3621511479543649e-14,10,5191193,562846.0,0.05
0.75,0,Qwen3-4B-FP8,L40S-48GB,pipe,38.51802755746285,38.50857442658279,0.024548119531362322,12,3841191,562797.0,0.06
0.75,0,Qwen3-4B-FP8,L40S-48GB,fullspec,39.76532157274596,39.765321572745954,1.786840160364971e-14,8,3965841,562810.0,0.07
0.75,0,Qwen3-32B-FP8,H100-SXM-80GB,task,165.08843420003996,165.08843420003996,0.0,16,5186709,339483.0,0.05
0.75,0,Qwen3-32B-FP8,H100-SXM-80GB,pipe,122.11428781172837,122.11428781172837,0.0,19,3840341,339508.0,0.06
0.75,0,Qwen3-32B-FP8,H100-SXM-80GB,fullspec,126.11430700187124,126.11430700187127,-2.2536467198747156e-14,12,3965841,339489.0,0.05
0.75,0,Qwen3-32B-FP8,L40S-48GB,task,443.7434117618559,443.74341176185607,-3.842992415489485e-14,56,5163895,95367.0,0.08
0.75,0,Qwen3-32B-FP8,L40S-48GB,pipe,329.49905404906553,329.4969482046767,0.0006391089205258204,65,3838091,95366.0,0.09
0.75,0,Qwen3-32B-FP8,L40S-48GB,fullspec,340.49142367899486,340.49142367899486,0.0,42,3965841,95355.0,0.07
0.75,1,Qwen3-4B-FP8,H100-SXM-80GB,task,19.154717940155958,19.154717940155958,0.0,6,5146878,996900.0,0.04
0.75,1,Qwen3-4B-FP8,H100-SXM-80GB,pipe,14.253004870341256,14.251193292860023,0.01271175994883344,7,3838091,996826.0,0.08
0.75,1,Qwen3-4B-FP8,H100-SXM-80GB,fullspec,14.728641087833644,14.728641087833646,-1.2060561655396581e-14,4,3965841,996827.0,0.04
